assetUid,sourceProfileId,sellerDisplayName,assetClass,category,subcategory,title,brand,marketReferenceBrands,price,totalAmount,mediaStatus,coverFile
v35-seed-p001-asset-001,P001,Saigon Coffee Shop,physical_goods,agri_food,coffee,Saigon Coffee Seed Reserve Arabica Whole Bean Lot,Saigon Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,14.42 USDT,81,pending_verified_license_source,
v35-seed-p001-asset-002,P001,Saigon Coffee Shop,physical_goods,agri_food,coffee,Saigon Coffee Seed Green Coffee Sample Set,Saigon Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9.27 USDT,121,pending_verified_license_source,
v35-seed-p001-asset-003,P001,Saigon Coffee Shop,service_rights,service_rights,logistics_services,Saigon Coffee Seed Sourcing and Inspection Service Pass,Saigon Coffee Seed,,123.60 USDT,21,pending_verified_license_source,
v35-seed-p002-asset-001,P002,Ethiopia Coffee Shop,physical_goods,agri_food,coffee,Ethiopia Coffee Seed Reserve Arabica Whole Bean Lot,Ethiopia Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,14.84 USDT,82,pending_verified_license_source,
v35-seed-p002-asset-002,P002,Ethiopia Coffee Shop,physical_goods,agri_food,coffee,Ethiopia Coffee Seed Green Coffee Sample Set,Ethiopia Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9.54 USDT,122,pending_verified_license_source,
v35-seed-p002-asset-003,P002,Ethiopia Coffee Shop,agent_services,agent_services,procurement_agent,Ethiopia Coffee Seed Procurement Agent Research Pack,Ethiopia Coffee Seed,,94.34 USDT,14,pending_verified_license_source,
v35-seed-p003-asset-001,P003,Nairobi Coffee Shop,physical_goods,agri_food,coffee,Nairobi Coffee Seed Reserve Arabica Whole Bean Lot,Nairobi Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,15.26 USDT,83,pending_verified_license_source,
v35-seed-p003-asset-002,P003,Nairobi Coffee Shop,physical_goods,agri_food,coffee,Nairobi Coffee Seed Green Coffee Sample Set,Nairobi Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,9.81 USDT,123,pending_verified_license_source,
v35-seed-p003-asset-003,P003,Nairobi Coffee Shop,service_rights,service_rights,logistics_services,Nairobi Coffee Seed Sourcing and Inspection Service Pass,Nairobi Coffee Seed,,130.80 USDT,23,pending_verified_license_source,
v35-seed-p004-asset-001,P004,Bogota Coffee Shop,physical_goods,agri_food,coffee,Bogota Coffee Seed Reserve Arabica Whole Bean Lot,Bogota Coffee Seed,Blue Bottle|Lavazza|Illy|Nespresso,14 USDT,84,pending_verified_license_source,
